No,classification,PGR,P-PET,Leak,GW_Abs,Pop_den,Irri_int,Aquifer
222,No trend,139.9911499,163.7367096,9.786,16.604,74.85943731,1001,Unallocated to aquifers
223,Increasing,117.9463501,181.8063812,6.424,7.187,164.5522195,1,Unallocated to aquifers
225,Increasing,548.9110718,553.9765625,4.294,9.611,44.88829592,101,Corallian Limestone
226,No trend,130.8672791,169.0825195,8.174,41.78,641.3371866,1001,Oolites
227,No trend,449.5662537,335.1028137,8.174,41.78,897.953891,1001,Chalk
228,Decreasing,30.28830338,98.15395355,3.332,13.058,189.8648637,5001,Chalk
229,No trend,241.1486053,247.0314789,8.174,41.78,176.5608207,1001,Lower Greensand
230,No trend,309.7267761,347.4214783,36.032,42.555,160.3575095,51,Chalk
231,Increasing,573.4226074,497.9463501,4.294,9.611,60.79479551,101,Chalk
232,No trend,207.1256256,212.6101379,8.174,41.78,1581.954882,1001,Chalk
233,No trend,83.30850983,156.3975983,8.174,41.78,195.4747745,1001,Oolites
234,No trend,308.0453796,408.4942017,9.786,16.604,135.2234448,51,Triassic Sandstone
235,No trend,306.4373779,425.5693665,13.911,6.465,268.7053098,1,Unallocated to aquifers
236,No trend,243.8541718,208.9030151,6.946,41.78,463.2404554,251,Chalk
237,No trend,310.8664246,250.0897217,9.786,16.604,203.5701747,251,Triassic Sandstone
238,No trend,144.1680603,97.48200226,3.332,13.058,74.53048326,101,Oolites
239,Decreasing,179.9545288,115.6360016,3.332,13.058,63.03221086,5001,Chalk
240,No trend,311.0101013,265.384491,8.174,41.78,45.45234963,1,Chalk
241,No trend,153.9586334,49.34579086,3.332,13.058,155.8717184,1001,Chalk
242,No trend,494.2384033,474.1756897,4.294,9.611,57.62431414,101,Corallian Limestone
243,Increasing,37.335648,204.3049927,8.174,41.78,491.2528911,251,Chalk
244,Decreasing,313.968811,219.3304291,6.946,41.78,302.0894102,251,Lower Greensand
245,Increasing,191.8458099,197.5494537,9.786,16.604,132.6991029,1001,Unallocated to aquifers
246,No trend,161.2408447,92.98084259,9.786,16.604,222.9472379,2501,Triassic Sandstone
248,No trend,178.704422,160.4979858,8.59,7.187,148.3573323,51,Chalk
249,No trend,159.9131927,80.28826141,3.332,13.058,403.3716925,1001,Lower Greensand
250,Increasing,774.7089233,799.7910767,9.786,16.604,255.9515702,1,Carboniferous Limestone
251,No trend,205.8899231,190.9834595,14.592,42.555,719.8529395,101,Chalk
253,No trend,79.70458221,127.2365723,36.032,41.78,1362.177435,1,Lower Greensand
254,Increasing,149.5958557,272.6346741,12.995,41.78,548.4899051,1001,Chalk
255,No trend,149.5958557,272.6346741,12.995,41.78,547.1137359,1001,Chalk
256,Increasing,314.6767883,299.3418884,6.946,41.78,591.8302445,1,Chalk
257,Sudden upward change,357.5396729,179.1916504,9.786,16.604,84.82173188,251,Triassic Sandstone
258,Increasing,478.5382385,384.4179688,8.174,41.78,113.0387976,251,Chalk
259,No trend,23.25065994,53.69523239,3.332,13.058,229.3083886,1001,Chalk
260,Decreasing,252.283432,193.2283478,9.786,16.604,81.0721364,1001,Triassic Sandstone
261,Increasing,35.41659546,106.455925,9.786,16.604,446.6407813,501,Triassic Sandstone
262,Increasing,439.0240173,444.4752502,7.969,9.611,259.7063661,51,Carboniferous Limestone
263,No trend,160.135498,165.3529053,14.592,42.555,683.1850395,101,Chalk
264,No trend,243.7989807,264.1629639,36.032,42.555,94.25878722,251,Chalk
265,Increasing,27.49238586,141.3541565,14.592,42.555,2356.282273,101,Chalk
268,No trend,24.86469841,140.2796783,14.592,42.555,649.0918149,101,Chalk
269,Increasing,281.8017578,317.6338196,36.032,42.555,111.4859537,251,Oolites
270,Sudden upward change,272.5256958,434.9039612,13.911,6.465,676.6478497,1,Triassic Sandstone
271,No trend,205.8291168,205.6422729,8.59,7.187,91.72454819,51,Chalk
272,No trend,87.70444489,68.28577423,9.093,13.058,64.0352242,1001,Crag
273,No trend,23.51755333,63.18993759,3.332,13.058,62.8147345,1001,Chalk
275,No trend,188.0859985,160.141983,14.592,42.555,797.5709818,101,Chalk
276,Increasing,225.8745728,219.3505402,36.032,42.555,344.6407561,51,Lower Greensand
277,No trend,169.0137329,142.4655151,3.332,13.058,40.57591692,5001,Chalk
278,No trend,298.1553955,263.4320679,6.946,41.78,732.0786994,1,Chalk
279,No trend,298.1553955,263.4320679,6.946,41.78,733.1478346,1,Chalk
283,No trend,285.35672,333.745636,14.592,41.78,433.6244173,1001,Chalk
284,No trend,318.3515015,327.7453308,12.995,41.78,247.4097858,101,Chalk
286,Increasing,191.5632935,336.0162048,13.911,6.465,1453.195625,101,Permian Sandstone
287,No trend,15.63282013,115.3372116,8.174,41.78,112.9018868,1001,Chalk
288,No trend,23.77408028,68.35112762,14.592,13.058,68.08451578,1001,Lower Greensand
289,Increasing,259.7186279,225.3261261,14.592,42.555,555.1951369,101,Chalk
290,Sudden upward change,108.7205429,159.6875458,6.424,7.187,279.0953658,251,Magnesian Limestone
292,Decreasing,91.52435303,82.36927795,3.332,13.058,128.7577532,5001,Chalk
293,Increasing,653.397644,548.4637451,8.174,41.78,61.77194166,1001,Chalk
294,Increasing,124.2785187,163.0885315,36.032,42.555,335.0660762,51,Oolites
295,No trend,164.3406525,210.5688019,36.032,42.555,72.85110005,51,Chalk
296,Decreasing,141.9046326,97.28972626,3.332,13.058,71.760958,5001,Chalk
297,No trend,82.64558411,82.93170929,3.332,13.058,290.7896776,751,Oolites
298,Increasing,252.9522247,210.8715515,13.911,6.465,235.0267685,101,Triassic Sandstone
299,No trend,190.63591,115.6205597,3.332,13.058,252.6477799,1001,Crag
300,Sudden downward change,123.5097122,160.2799072,9.786,16.604,269.5324074,251,Permian Sandstone
301,Decreasing,255.009552,241.953186,6.946,41.78,176.1634843,251,Lower Greensand
302,No trend,323.5784302,350.2658691,8.174,41.78,1930.27454,1,Chalk
303,No trend,13.40966034,98.8664093,3.332,13.058,81.1427191,751,Spilsby Sandstone
304,Decreasing,50.23643494,107.8132172,3.332,13.058,59.05890053,5001,Chalk
306,Increasing,119.3648529,128.0279999,3.332,13.058,87.54200003,1001,Oolites
309,No trend,198.3444824,127.0673599,9.786,16.604,78.55365205,1001,Permian Sandstone
310,No trend,201.8938141,146.0091705,9.786,16.604,78.52236149,1001,Permian Sandstone
311,No trend,234.7520294,178.6597748,6.946,41.78,101.0276796,1001,Corallian Limestone
312,No trend,74.73753357,116.8774261,3.332,13.058,95.0555383,751,Oolites
313,No trend,130.8656006,168.0435944,9.786,16.604,878.0579674,251,Unallocated to aquifers
314,Increasing,345.1445923,303.997345,8.174,41.78,76.02462619,1,Chalk
315,No trend,49.6669693,371.6186829,6.946,41.78,245.9796552,1,Chalk
316,No trend,73.18843079,119.3577042,3.332,13.058,123.194126,1001,Chalk
317,No trend,171.0866241,134.6017914,3.332,13.058,100.1422895,5001,Chalk
318,No trend,239.4506226,209.9900208,36.032,42.555,62.67278141,51,Chalk
320,No trend,249.3925018,169.6598358,9.786,16.604,55.35685199,251,Triassic Sandstone
321,No trend,17.58719063,76.71406555,3.332,13.058,106.0728139,1001,Crag
322,Increasing,32.85803223,239.7220459,9.786,16.604,5726.24954,501,Triassic Sandstone
323,No trend,456.1054993,370.0624084,13.911,6.465,45.56216405,1,Triassic Sandstone
324,No trend,295.6989746,291.7822876,36.032,42.555,73.43486748,51,Oolites
325,No trend,217.9839935,165.1656342,3.332,13.058,310.7165932,1001,Chalk
326,Increasing,388.843689,365.6633301,14.592,41.78,87.2279041,1001,Chalk
328,No trend,62.47134781,56.64047241,8.59,16.604,127.2376673,2501,Triassic Sandstone
329,Sudden upward change,161.530304,192.5107117,6.424,7.187,572.2203835,1,Fell Sandstone& Border Group
330,Increasing,28.70517159,277.3868103,4.294,42.555,118.5236188,251,Oolites
331,Increasing,306.9715881,387.8484802,9.786,16.604,104.2420548,1,Carboniferous Limestone
332,Decreasing,283.5944519,311.6190796,4.294,9.611,444.2627589,51,Oolites
333,Increasing,283.5944519,311.6190796,4.294,9.611,447.473775,51,Oolites
334,No trend,21.28968239,197.6479187,36.032,42.555,159.8698208,51,Chalk
335,No trend,375.2999268,292.077301,6.946,41.78,505.3248061,1,Chalk
336,Decreasing,112.8465729,130.0530243,3.332,13.058,300.2969525,5001,Chalk
337,No trend,130.1380157,128.6400757,6.946,42.555,1161.582255,251,Chalk
338,No trend,217.7608032,133.7504883,3.332,13.058,68.79114717,5001,Chalk
339,No trend,263.8572388,249.8326111,6.946,41.78,336.6891099,1,Chalk
340,No trend,120.9638519,124.7668228,3.332,13.058,167.2594529,751,Chalk
341,No trend,16.76458549,81.35581207,8.59,7.187,106.6328754,251,Triassic Sandstone
342,Decreasing,197.178421,259.0098267,9.786,16.604,166.7558054,1001,Triassic Sandstone
343,No trend,276.7068481,202.7166901,36.032,42.555,62.45016797,51,Chalk
344,No trend,153.6005096,96.91996765,3.332,13.058,59.80272818,5001,Chalk
346,No trend,400.4650879,377.2755737,13.911,6.465,75.42879576,1,Triassic Sandstone
347,No trend,97.65172577,62.30526733,9.093,13.058,84.41023642,1001,Crag
348,No trend,185.3416443,167.6506958,36.032,42.555,259.637761,251,Oolites
349,Sudden upward change,76.51976013,82.0715332,8.59,7.187,283.3380655,51,Triassic Sandstone
350,No trend,209.7282715,158.6088562,4.512,16.604,768.5633322,501,Unallocated to aquifers
351,Increasing,141.5569153,191.524353,6.424,7.187,539.3990049,1,Fell Sandstone& Border Group
352,No trend,195.0636292,166.6431885,9.786,16.604,209.216954,1001,Triassic Sandstone
353,No trend,247.289566,284.2394104,8.174,41.78,570.0639777,1001,Lower Greensand
354,Sudden upward change,137.5013275,181.3890686,6.424,7.187,566.0031582,251,Carboniferous Limestone
355,No trend,43.35810852,363.0919495,36.032,16.604,108.0440603,101,Triassic Sandstone
356,Decreasing,154.5774841,185.7436829,9.786,16.604,364.8030272,1001,Unallocated to aquifers
