No,label,trend classification,ts_slope (cm/year),piecewise_R2,sudden change windows span,sudden change window start year,sudden change window end year
1915,Forest Farm White Post,No trend,-0.477696078,0.498462535,2,10/1/2019,10/1/2020
1916,Kynock Press,Slow increasing,-4.55,0.837150093,22,10/1/1991,10/1/2012
1918,Tolpuddle Ball,Slow increasing,-2.483398765,0.190693701,1,10/1/2018,10/1/2018
1919,Knolls,No trend,-1.892133431,0.523789929,3,10/1/1996,10/1/1998
1920,Knolls 2,No trend,1.318661347,0.025430925,29,10/1/1994,10/1/2022
1921,Oxtalls Farm,No trend,-1.357142857,0.066779437,33,10/1/1990,10/1/2022
1922,Marsh Benham,No trend,-0.436170227,0.054428942,19,10/1/2005,10/1/2023
1923,Jubilee Lodge,Slow decreasing,2.346666667,0.403203049,19,10/1/2000,10/1/2018
1924,Shottesbrooke Park,No trend,0.959199134,0.060099868,3,10/1/1984,10/1/1986
1925,Kenyon Lane,Slow increasing,-14.99296086,0.447654639,18,10/1/2005,10/1/2022
1926,Springwell,Sudden upward change,-34.95940137,0.959220258,9,10/1/2000,10/1/2008
1927,Woods Copse Forest Side,No trend,-1.30690215,0.090081373,28,10/1/1996,10/1/2023
1928,Twydales Nafferton,No trend,0.128787879,0.032710471,1,10/1/2017,10/1/2017
1929,Berden Hall,No trend,0.400694444,0.002215352,37,10/1/1969,10/1/2005
1930,Wykeham 2,No trend,-1.484541847,0.040077834,3,10/1/2015,10/1/2017
1931,Sutton Scotney,No trend,0.083931419,0.000558707,10,10/1/1987,10/1/1996
1932,Thelveton Hall,No trend,-0.591880342,0.141429395,28,10/1/1979,10/1/2006
1933,Hazely Down Farm,Slow increasing,-4.768217893,0.153409346,14,10/1/2010,10/1/2023
1936,Swarraton,No trend,1.416666667,0.457335991,29,10/1/1967,10/1/1995
1937,Ashill,No trend,-1.144792998,0.152299323,32,10/1/1989,10/1/2020
1938,Bircham Newton,Slow decreasing,9.177495348,0.248598553,8,10/1/2000,10/1/2007
1940,Wintershill Chalk,Slow increasing,-6.375487013,0.069434961,20,10/1/2004,10/1/2023
1941,Bartlow junction,Slow decreasing,4.861354776,0.139130986,18,10/1/2001,10/1/2018
1942,Layton House,Slow increasing,-31.54487179,0.895988014,36,10/1/1975,10/1/2010
1943,Lower Hare Park,Slow decreasing,7.097222222,0.058904001,18,10/1/2001,10/1/2018
1946,Keelby,No trend,-1.64280303,0.061102226,32,10/1/1992,10/1/2023
1947,Winterbourne Houghton,Slow increasing,-7.110966811,0.089057073,20,10/1/2004,10/1/2023
1948,Norton Top,No trend,-0.748888889,0.076579604,10,10/1/2014,10/1/2023
1949,Filston Farm,No trend,0.163528139,0.001223117,22,10/1/2000,10/1/2021
1950,Watch Hill,Slow decreasing,4.00995671,0.58136597,24,10/1/1969,10/1/1992
1951,The Spinney,No trend,-0.363333333,0.048012082,72,10/1/1952,10/1/2023
1952,Hixham Hall,No trend,1.374059783,0.015670081,40,10/1/1979,10/1/2018
1953,Upper Bevendean,No trend,-0.071294546,0.144802704,2,10/1/2022,10/1/2023
1954,Baydon Hole,No trend,1.024488613,0.004059324,10,10/1/1990,10/1/1999
1955,Stonehouse,No trend,0.879347826,0.063238847,42,10/1/1981,10/1/2022
1956,Roud,No trend,-0.19516129,0.183421488,1,10/1/2012,10/1/2012
1957,Coleby,No trend,-0.166666667,0.09123421,33,10/1/1990,10/1/2022
1959,Chells Manor,No trend,0.315454545,0.029772819,6,10/1/1982,10/1/1987
1960,Monkton Farleigh,Slow increasing,-16.0625,0.317972234,5,10/1/2019,10/1/2023
1961,Little Bradley,No trend,0.691684134,0.318438224,2,10/1/1987,10/1/1988
1962,Lower Austin Lodge,No trend,0.390782313,0.013087821,23,10/1/1968,10/1/1990
1963,Lodge Farm Thelnetham,No trend,1.567142857,0.314120274,19,10/1/2000,10/1/2018
