No,label,trend classification,ts_slope (cm/year),piecewise_R2,sudden change windows span,sudden change window start year,sudden change window end year
1,Burton Coggles,Slow decreasing,3.365393519,0.090633391,37,10/1/1974,10/1/2010
2,Willow Tree Farm,No trend,-0.426781201,0.07662342,21,10/1/2003,10/1/2023
3,Plucks Gutter,No trend,-0.610416667,0.067785543,43,10/1/1981,10/1/2023
4,Wimpole Hall,Sudden upward change,-20.55493827,0.970427973,9,10/1/2005,10/1/2013
6,Wood Mill Farm,Slow increasing,-2.361361119,0.394307377,2,10/1/2002,10/1/2003
7,Wood Mill Farm,No trend,0.054069542,0.180093048,1,10/1/1973,10/1/1973
8,Wood Mill Farm,No trend,0.283164983,0.118530737,9,10/1/1981,10/1/1989
9,Drakelow,Slow increasing,-37.07791617,0.810297315,18,10/1/2000,10/1/2017
10,Tollgate,No trend,1.583064738,0.132646057,10,10/1/1982,10/1/1991
11,Spoondell,Slow decreasing,4.017424242,0.062545762,25,10/1/1981,10/1/2005
14,North Stoke,Slow increasing,-4.992424242,0.310392581,19,10/1/2005,10/1/2023
15,Newlands Corner,Slow decreasing,3.890833302,0.061787509,8,10/1/2009,10/1/2016
16,Grange Farm West Wratting,No trend,1.104166667,0.128486784,2,10/1/2003,10/1/2004
17,Lea Farm,No trend,-0.431186869,0.017741268,38,10/1/1976,10/1/2013
18,Ingleby,Slow decreasing,44.1125,0.986199413,7,10/1/2012,10/1/2018
19,Thames Head,No trend,-1.263157895,0.177653782,63,10/1/1961,10/1/2023
20,Moss Edge Farm,No trend,0.009365969,0.030053245,56,10/1/1965,10/1/2020
21,East Leake,Slow increasing,-13.30568182,0.739688249,46,10/1/1978,10/1/2023
23,Roman Road,Slow increasing,-6.058174576,0.621017401,11,10/1/1997,10/1/2007
24,Hyde Cottages Risby,Slow decreasing,8.1125,0.195980571,16,10/1/2000,10/1/2015
25,North Plantation,No trend,-1.902631579,0.889733809,8,10/1/1998,10/1/2005
26,Warnford Estate,No trend,-0.985791091,0.524456204,33,10/1/1991,10/1/2023
27,Kemps Drift,No trend,-0.968398268,0.844403078,9,10/1/1991,10/1/1999
28,Hungerdowns Farm,No trend,-0.622530864,0.087244524,28,10/1/1996,10/1/2023
29,Caldecote Farm,No trend,-0.224358974,0.468077012,1,10/1/1997,10/1/1997
30,Jackaments Bottom,No trend,1.776094293,0.022230378,34,10/1/1986,10/1/2019
31,Ponyfield,Slow increasing,-3.513047138,0.481143748,25,10/1/1997,10/1/2021
32,Lydeards Hill,Slow decreasing,16.40530646,0.594221791,21,10/1/1992,10/1/2012
33,Sutton Top Field Spinney,Slow increasing,-2.524104683,0.628812485,8,10/1/2016,10/1/2023
34,Sutton Heath Road,No trend,0.263020833,0.101902159,2,10/1/2018,10/1/2019
35,Woore,No trend,-0.082211538,0.030557745,1,10/1/2019,10/1/2019
36,Hurdcott,No trend,-0.207883241,0.066941487,6,10/1/2007,10/1/2012
37,Hursley,Slow increasing,-3.52834856,0.019923973,36,10/1/1988,10/1/2023
38,Blowing Stone Cottage,No trend,1.069666445,0.038344677,2,10/1/1982,10/1/1983
39,Mill Road,No trend,1.10124269,0.290842398,1,10/1/1999,10/1/1999
40,Water Acre,No trend,-0.266155434,0.010339308,49,10/1/1975,10/1/2023
41,Upavon Deep,No trend,-0.625344353,0.057227614,14,10/1/2010,10/1/2023
42,Upavaon Shallow,No trend,-1.141414141,0.285835154,6,10/1/2018,10/1/2023
43,Sherburn Quarry 3,No trend,-0.071829405,0.068302839,18,10/1/2006,10/1/2023
44,Berwick Bassett,No trend,0.089795733,0.008990885,26,10/1/1996,10/1/2021
45,Amotherby,No trend,-1.304229798,0.156456664,29,10/1/1995,10/1/2023
46,Brunstead Hall,No trend,-0.049242424,0.062934389,21,10/1/1993,10/1/2013
47,Moreton Lodge,No trend,-0.485138962,0.007062068,24,10/1/1998,10/1/2021
48,Bowbridge,No trend,-1.268148437,0.191340848,27,10/1/1997,10/1/2023
49,Bessacar,No trend,-1.399038462,0.729489878,38,10/1/1986,10/1/2023
50,Chalton,Slow increasing,-14.1472954,0.071614913,21,10/1/2003,10/1/2023
51,Old Hall,No trend,-0.213716108,0.102152086,2,10/1/1997,10/1/1998
52,Main Road Croxton,Slow decreasing,5.55,0.193921842,2,10/1/2003,10/1/2004
53,Rats Pen Lane Chalk,No trend,0.819249784,0.117423543,30,10/1/1981,10/1/2010
54,Myddlewood,Sudden downward change,3.789044289,0.8937178,9,10/1/1986,10/1/1994
55,Slough Farm,Slow increasing,-4.044117647,0.570677392,33,10/1/1972,10/1/2004
56,Marlston Farm,No trend,-0.947080879,0.077433045,51,10/1/1973,10/1/2023
57,Royalty Farm,Slow increasing,-3.251967773,0.36679232,21,10/1/1995,10/1/2015
58,Wested Farm,No trend,-0.197554348,0.004565248,61,10/1/1962,10/1/2022
59,Trowley Bottom Farm,Slow increasing,-3.557420799,0.1629502,10,10/1/1991,10/1/2000
60,Glynch 3,Sudden downward change,41.88710757,0.953304623,2,10/1/2016,10/1/2017
61,Pipe Green,Sudden upward change,-3.429292929,0.854617268,4,10/1/1997,10/1/2000
62,Itteringham 2,No trend,0.055185284,0.102375337,17,10/1/1986,10/1/2002
63,Winchester Guildhall,No trend,-0.43452381,0.082706555,20,10/1/2004,10/1/2023
64,Hambleton,Slow increasing,-5.181430132,0.850853091,17,10/1/1995,10/1/2011
65,Cocker Bridge,No trend,-0.328178419,0.038163922,58,10/1/1965,10/1/2022
66,Lynstead,No trend,-0.981881313,0.07389423,2,10/1/2012,10/1/2013
67,Cundall Sandstone,No trend,-1.402883743,0.463507951,17,10/1/1996,10/1/2012
69,Whitworth Hall,Sudden upward change,-25.43196169,0.978037722,8,10/1/2000,10/1/2007
70,Painsbrook,Slow decreasing,3.002779542,0.027274709,15,10/1/2008,10/1/2022
71,Bow Wow,No trend,-0.847222222,0.387384358,1,10/1/2018,10/1/2018
74,Aughton Cliffs Farm,Slow increasing,-65.92509775,0.993185315,28,10/1/1985,10/1/2012
75,Pipstile Farm Uphampton,No trend,-0.245238095,0.011007121,40,10/1/1974,10/1/2013
76,Challenge Farm,No trend,0.831813939,0.023083595,39,10/1/1984,10/1/2022
77,Frome,No trend,0.123722594,0.007353992,14,10/1/2010,10/1/2023
78,Shortheath Pond,No trend,-1.02731,0.99416207,3,10/1/2017,10/1/2019
79,Hornsea,No trend,-1.364171891,0.251006571,2,10/1/2005,10/1/2006
80,Crudwell,Slow increasing,-2.650520833,0.049774306,29,10/1/1995,10/1/2023
81,Wrelton Paddock,Slow increasing,-2.856609195,0.215167581,33,10/1/1991,10/1/2023
82,Black Hall Farm,No trend,-0.425,0.507765755,2,10/1/2006,10/1/2007
83,Cockley Cley Copse,No trend,-0.75,0.149769655,29,10/1/1995,10/1/2023
84,Westpoint,No trend,-1.003314289,0.169794273,14,10/1/2006,10/1/2019
85,West Cowick,No trend,-0.350877193,0.074428125,29,10/1/1995,10/1/2023
86,Iwerne Hill Farm,No trend,0.86507851,0.001332657,10,10/1/2010,10/1/2019
87,Old Well House,Slow decreasing,5.258868169,0.26015292,12,10/1/1995,10/1/2006
88,Croxton Heath,Slow decreasing,15.38765432,0.338369192,5,10/1/2002,10/1/2006
89,Sproxton,No trend,-1.52032532,0.149255387,52,10/1/1972,10/1/2023
90,Mayhouse Farm,No trend,-0.732142857,0.056420935,25,10/1/1983,10/1/2007
91,Beenham,Slow increasing,-3.059924164,0.244025319,21,10/1/2003,10/1/2023
92,Brislands Lane,Slow increasing,-2.511784512,0.039111382,29,10/1/1991,10/1/2019
93,Blackmore Farm,Slow decreasing,4,0.037541612,31,10/1/1966,10/1/1996
94,Fox Hall,No trend,0.694188165,0.127710836,26,10/1/1978,10/1/2003
95,Jevington,No trend,1.027117752,0.000616344,30,10/1/1977,10/1/2006
96,Pickworth,No trend,-1.291666667,0.057229263,52,10/1/1972,10/1/2023
98,Shawell Cottage,No trend,1.881260493,0.152124034,17,10/1/2007,10/1/2023
99,Shawbury Park Wood,No trend,-0.426653823,0.010917674,22,10/1/1999,10/1/2020
102,Ermin Farm,Slow increasing,-8.930902778,0.367676044,28,10/1/1996,10/1/2023
103,Jubilee Bridge,Sudden upward change,-111.4407013,0.985630971,11,10/1/1997,10/1/2007
106,Southover,Slow decreasing,2.130681818,0.048341415,1,10/1/2004,10/1/2004
107,Ogbourne,No trend,-0.256114253,0.010823522,48,10/1/1975,10/1/2022
108,Little Thurlow,No trend,-1.111111111,0.121586571,27,10/1/1996,10/1/2022
109,Crookhall Bridge,No trend,0.03125,0.006448543,60,10/1/1963,10/1/2022
110,Cowfold,Sudden upward change,-7.58729616,0.970722418,11,10/1/2004,10/1/2014
111,Elm Place,No trend,0.124255952,0.003832313,22,10/1/2000,10/1/2021
113,Rabbits Farm,Slow increasing,-2.921875,0.046354427,32,10/1/1992,10/1/2023
114,Side Saddle Farm,No trend,-0.987190934,0.062254369,29,10/1/1991,10/1/2019
115,Fordington Down,Slow increasing,-56.18497189,0.469003527,9,10/1/2015,10/1/2023
116,Figheldean Deep,No trend,0.562770563,0.209958626,2,10/1/2002,10/1/2003
117,Figheldean Shallow,No trend,0.405555556,0.025457165,11,10/1/2002,10/1/2012
118,High Road Ashton Keynes,No trend,-0.689122778,0.253617109,20,10/1/2004,10/1/2023
119,Hurst Green,No trend,3.17E-15,0.015317011,48,10/1/1974,10/1/2021
122,Ord Road,Sudden downward change,80.04538691,0.941414208,10,10/1/2002,10/1/2011
123,Crosshill,No trend,-0.412374257,0.034438438,2,10/1/1993,10/1/1994
124,Newbarn Cottage,Slow increasing,-3.429442592,0.085885992,10,10/1/2004,10/1/2013
125,Walford,No trend,0.893356075,0.114285844,37,10/1/1986,10/1/2022
126,Marldell,No trend,-1,0.0933942,1,10/1/1991,10/1/1991
128,Crondall,No trend,-0.264410603,0.01995131,19,10/1/1995,10/1/2013
129,Vicarage Farm,Slow decreasing,8.145833333,0.199061683,19,10/1/2000,10/1/2018
130,Hoad Farm,Slow increasing,-2.34032416,0.011240134,19,10/1/1991,10/1/2009
131,Higham Mill,No trend,0.38282967,0.166292367,24,10/1/2000,10/1/2023
132,Toad Hall,No trend,1.737804878,0.608256306,11,10/1/1983,10/1/1993
133,Whitbread,Sudden upward change,-8.847604364,0.928695274,12,10/1/2002,10/1/2013
134,Leedsgate Farm,No trend,0.169444444,0.09349063,1,10/1/2022,10/1/2022
135,Perimeter Road,Slow increasing,-42.43191057,0.979545756,17,10/1/1985,10/1/2001
136,Alsa Wood Cottage,No trend,-0.355263158,0.012964139,28,10/1/1996,10/1/2023
137,Lullingstone,No trend,-1.661682301,0.078586327,23,10/1/1998,10/1/2020
139,Kenninghall Place,No trend,-0.314194139,0.070908194,19,10/1/1998,10/1/2016
140,St Philomenas School,Slow increasing,-8.771900826,0.60674959,10,10/1/1989,10/1/1998
141,Church Farm Cottage,Slow decreasing,2.035353535,0.073033426,2,10/1/2005,10/1/2006
142,High School,No trend,-0.845262097,0.292862394,50,10/1/1970,10/1/2019
143,Lullingstone Centre,No trend,-1.14101535,0.114278971,26,10/1/1996,10/1/2021
144,Washdyke Bridge,No trend,1.794642857,0.716398708,26,10/1/1976,10/1/2001
145,Wilmington Grammar,Slow increasing,-2.488044278,0.09514656,26,10/1/1995,10/1/2020
146,Dowlands Tangley,No trend,0.034564394,0.164687169,2,10/1/2022,10/1/2023
147,Eve Stud,Slow increasing,-10.9909612,0.637735255,26,10/1/1998,10/1/2023
150,The Soapworks,No trend,-1.739472468,0.653534292,10,10/1/2002,10/1/2011
151,Clap Gate Cottage,No trend,0.001909189,0.123862169,2,10/1/2022,10/1/2023
152,Quickset Road,Slow decreasing,9.905856643,0.078992696,18,10/1/2000,10/1/2017
153,Perrotts Brook,No trend,0.516991916,0.085162291,8,10/1/2009,10/1/2016
154,Greatwood Farm,No trend,-0.857192994,0.296340693,1,10/1/2018,10/1/2018
155,Newmans Yard,No trend,0.227705628,0.025693552,17,10/1/1993,10/1/2009
156,Little London Bramdean,No trend,-0.37309264,0.069533648,25,10/1/1996,10/1/2020
157,School Lane,No trend,-1.515597148,0.339872102,2,10/1/2012,10/1/2013
158,Trafalgar square,Slow increasing,-80.2456374,0.974078338,29,10/1/1970,10/1/1998
159,Seascale Hall,No trend,-1.354275599,0.111797242,38,10/1/1973,10/1/2010
160,Carley Hill,Slow increasing,-6.110138878,0.462007886,5,10/1/2008,10/1/2012
161,Ixworth Thorpe,Slow decreasing,3.186666667,0.533165821,19,10/1/2000,10/1/2018
162,Swan Carr,Sudden upward change,-5.02490942,0.916600966,4,10/1/1976,10/1/1979
163,Chipley,No trend,0.152146465,0.005352885,32,10/1/1992,10/1/2023
164,Vauxhall Road,No trend,-1.985482231,0.330778979,6,10/1/2001,10/1/2006
165,North Dean House,Slow decreasing,5.534090909,0.097073649,9,10/1/1982,10/1/1990
166,Wilgate Green,Slow decreasing,13.49600433,0.168187535,24,10/1/2000,10/1/2023
167,Hut and Lodge Farm,Slow increasing,-3.380858725,0.047224159,33,10/1/1991,10/1/2023
168,Pettaugh,Slow increasing,-3,0.225636367,2,10/1/2008,10/1/2009
169,Abbotscroft Farm,No trend,-1.677146465,0.019856989,14,10/1/2007,10/1/2020
170,Campdenhill Farm,No trend,0.641477273,0.02399435,23,10/1/1999,10/1/2021
171,Allford Brook,No trend,0.534054405,0.21730433,51,10/1/1972,10/1/2022
172,Highwood Farm,No trend,0.147275641,0.007275181,18,10/1/2000,10/1/2017
173,Capel Church Farm,No trend,-4.554465163,0.001154554,16,10/1/2005,10/1/2020
174,Hutton Villa,Sudden upward change,-3.942996665,0.8929714,10,10/1/1992,10/1/2001
175,Holly Lodge,Slow increasing,-3.437354312,0.341508311,50,10/1/1974,10/1/2023
176,Butterbache,No trend,-1.407726859,0.491918454,12,10/1/2008,10/1/2019
177,Asthall Barrow Farm,No trend,0.191641692,0.07123165,6,10/1/2018,10/1/2023
178,Renwick,Slow increasing,-4.189711942,0.174355825,3,10/1/2006,10/1/2008
179,Wrottesley 1,Slow increasing,-2.368560606,0.144516746,32,10/1/1989,10/1/2020
180,Scamblesby,Sudden downward change,2.334152127,0.894586326,5,10/1/1987,10/1/1991
183,Ainsdale High School,No trend,1.690948832,0.262220723,16,10/1/2001,10/1/2016
184,Little London,Slow increasing,-18.54769341,0.890475471,23,10/1/1998,10/1/2020
185,Bishop Burton Wold,Slow increasing,-2.228213075,0.086112822,8,10/1/2016,10/1/2023
186,Westwell,Slow increasing,-7.572916667,0.338716172,55,10/1/1969,10/1/2023
187,Furnace Grange,Slow decreasing,2.162855297,0.686728785,62,10/1/1932,10/1/1993
188,Formby Golf Club,No trend,0.709474042,0.103505314,15,10/1/2003,10/1/2017
189,South Wonston,Slow increasing,-8.430555556,0.102969003,8,10/1/2005,10/1/2012
190,Frodsham Marsh,Slow increasing,-10.42849391,0.985658139,23,10/1/1986,10/1/2008
191,Coven Lane,Slow increasing,-7.368650794,0.731120477,32,10/1/1990,10/1/2021
192,Burderop Down,Slow increasing,-3.0437981,0.071430278,13,10/1/2011,10/1/2023
193,Tilshead High Street,Slow decreasing,2.001968813,0.013630201,23,10/1/2000,10/1/2022
194,Cabourne Parva,No trend,1.215277778,0.115787874,13,10/1/1998,10/1/2010
195,Whiteways Lodge,Slow increasing,-5.854292929,0.030243061,33,10/1/1991,10/1/2023
196,Hall Farm Euston,Slow decreasing,3.11489899,0.237284454,8,10/1/2000,10/1/2007
197,Snape Hill,Slow decreasing,3.526666667,0.276744618,20,10/1/1999,10/1/2018
198,Oxford,No trend,-0.597803362,0.146721036,6,10/1/2018,10/1/2023
199,Wooton Lodge,No trend,1.809565972,0.306800746,2,10/1/1988,10/1/1989
200,Wrington,Slow increasing,-5.49269425,0.014764625,33,10/1/1991,10/1/2023
201,Spotted Cow,No trend,-1.441471382,0.534939924,7,10/1/2017,10/1/2023
202,Putteridge Bury,Slow decreasing,2.825329359,0.038433589,50,10/1/1968,10/1/2017
203,Owlpen,No trend,1.680860806,0.624518107,2,10/1/2015,10/1/2016
204,Poplar Farm South,Slow increasing,-11.62337662,0.30830419,35,10/1/1989,10/1/2023
205,Tiverton Road,No trend,-0.584492691,0.049629743,10,10/1/2010,10/1/2019
206,Stanford Water,Slow decreasing,2.216666667,0.333802858,18,10/1/2002,10/1/2019
207,Redlands Farm,No trend,-1.39994213,0.051588003,2,10/1/2011,10/1/2012
208,Sharstead Farm,No trend,-1.468214286,0.060977477,14,10/1/2006,10/1/2019
209,Pool Bridge,No trend,-0.674285714,0.268997063,12,10/1/1995,10/1/2006
210,Garboldisham,Slow decreasing,5.904761905,0.323216698,22,10/1/1998,10/1/2019
211,Bully Hill,Slow increasing,-2.038655789,0.241156463,51,10/1/1973,10/1/2023
212,Wetwang,No trend,-1.109195767,0.041718411,49,10/1/1975,10/1/2023
215,Houndean Bottom,No trend,1.048409191,0.086890667,7,10/1/1982,10/1/1988
216,Northend stud,No trend,0.139520202,0.217122955,2,10/1/2021,10/1/2022
217,Barlow Station,Sudden downward change,11.08507525,0.889181878,10,10/1/1983,10/1/1992
218,The Lodge Nocton,No trend,0.202575311,0.003146407,52,10/1/1972,10/1/2023
219,Doghouse Grove,No trend,0.439901961,0.282408929,14,10/1/1983,10/1/1996
220,Fawley Green,Slow decreasing,3.011625883,0.045631516,55,10/1/1954,10/1/2008
221,Tumby Park,No trend,-0.699936869,0.999936271,4,10/1/2017,10/1/2020
222,Windy Oak,No trend,1.205614543,0.720105106,3,10/1/2001,10/1/2003
223,Fox Covert,Slow increasing,-9.127407407,0.198165749,16,10/1/2008,10/1/2023
225,Barcombe Farm,Slow increasing,-2.107142857,0.087525801,34,10/1/1990,10/1/2023
226,Woolton Farm,No trend,-1.78508547,0.025573049,29,10/1/1986,10/1/2014
227,Cissbury Ring,No trend,-0.286363636,0.31867732,2,10/1/2022,10/1/2023
228,Court Barns Farm,Slow decreasing,23.00369769,0.340717382,2,10/1/2002,10/1/2003
229,Rattling Court,No trend,0.106111111,0.04420994,2,10/1/2018,10/1/2019
230,Granham Farm,No trend,-0.557947435,0.011035652,41,10/1/1983,10/1/2023
231,Shatcombe Lane,Slow increasing,-3.177840909,0.464260966,6,10/1/2018,10/1/2023
232,East Preston,No trend,-0.602627258,0.160966173,29,10/1/1995,10/1/2023
233,Wickham Lane,No trend,0.627485729,0.169134255,18,10/1/1999,10/1/2016
234,Smelting Mill,No trend,0.738921958,0.320534863,1,10/1/2013,10/1/2013
235,Salt Pit Lane,No trend,1.683270677,0.678102016,53,10/1/1970,10/1/2022
236,College Wood,No trend,0.228895704,0.026768055,19,10/1/2000,10/1/2018
237,Croftsmill Bridge,No trend,-0.067212302,0.298576921,11,10/1/1990,10/1/2000
238,Pickworth Plain,No trend,1.260103047,0.040429431,3,10/1/2002,10/1/2004
239,Breckles,Slow decreasing,2.411764706,0.190063252,10,10/1/2001,10/1/2010
240,Houghton Down Farm,No trend,0.707482993,0.142906091,39,10/1/1979,10/1/2017
241,LAMARSH,No trend,0.53184239,0.171092096,33,10/1/1986,10/1/2018
242,Turnworth,No trend,-0.632189542,0.218115315,1,10/1/2022,10/1/2022
243,Bembridge Fort,Slow increasing,-2.084815547,0.048721431,16,10/1/2008,10/1/2023
244,Mid Comp Farm,Slow decreasing,7.783333333,0.449841472,33,10/1/1989,10/1/2021
245,Wistanswick,Slow increasing,-2.145167925,0.503224492,23,10/1/1996,10/1/2018
246,Serlby Park,No trend,-0.567708333,0.059294206,2,10/1/1999,10/1/2000
248,Kelleythorpe,No trend,-0.700757576,0.10551113,35,10/1/1989,10/1/2023
249,Haverhill,No trend,-0.64,0.129183323,33,10/1/1991,10/1/2023
250,Victory Quarry,Slow increasing,-3.911483254,0.358982166,25,10/1/1976,10/1/2000
251,Chalfont Centre,No trend,-0.48869281,0.008211374,33,10/1/1991,10/1/2023
253,Clement Street,No trend,-0.672726035,0.041880302,53,10/1/1971,10/1/2023
254,Tangmere Road Deep,Slow increasing,-8.185185185,0.206032593,18,10/1/2005,10/1/2022
255,Tangmere Road Shallow,No trend,-0.95483871,0.477793032,33,10/1/1991,10/1/2023
256,Oakley,Slow increasing,-8.211514702,0.186354173,1,10/1/2011,10/1/2011
257,Clive Mine,Sudden upward change,-41.66239748,0.946188957,11,10/1/2009,10/1/2019
258,Ashengrove Farm,Slow increasing,-6.467857143,0.126508615,12,10/1/2012,10/1/2023
259,Acton,No trend,-1.386162023,0.399231192,41,10/1/1983,10/1/2023
260,Gnosall,Slow decreasing,6.780740741,0.589733846,15,10/1/1994,10/1/2008
261,Alcester Road,Slow increasing,-12.94378307,0.618674213,6,10/1/1993,10/1/1998
262,Southfield House Whatley,Slow increasing,-4.626704545,0.614507543,28,10/1/1974,10/1/2001
263,Gobions Wood,No trend,0.474145299,0.202810334,2,10/1/2022,10/1/2023
264,Soundess House,No trend,1.035311094,0.077423065,27,10/1/1971,10/1/1997
265,Shrodells Hospital,Slow increasing,-5.113202548,0.484977134,2,10/1/1973,10/1/1974
268,Lynwood,No trend,0.5,0.049390232,9,10/1/2009,10/1/2017
269,MacMillan Way,Slow increasing,-26.70476733,0.369544624,14,10/1/2010,10/1/2023
270,BNFL,Sudden upward change,-9.401194,0.886081779,9,10/1/1999,10/1/2007
271,Etton Wold House,No trend,-1.134615385,0.062706761,10,10/1/2014,10/1/2023
272,Occold,No trend,1.269256198,0.285785356,40,10/1/1983,10/1/2022
273,Mill Farm,No trend,0.728633932,0.022794091,27,10/1/1993,10/1/2019
275,Great Revel End Farm,No trend,-0.915740741,0.00975789,39,10/1/1985,10/1/2023
276,Springfield Road,Slow increasing,-2.615782828,0.267907736,37,10/1/1987,10/1/2023
277,Water End farm,No trend,-1.320955882,0.121808256,29,10/1/1995,10/1/2023
278,Bishopstone Deep,No trend,-0.84104468,0.239570361,34,10/1/1990,10/1/2023
279,Bishopstone Shallow,No trend,-0.469909412,0.202474776,5,10/1/2018,10/1/2022
283,Jossenblock Farm,No trend,0.008888889,0.241469709,2,10/1/1982,10/1/1983
284,Sandboils Chalk,No trend,-0.590612599,0.122792484,24,10/1/1997,10/1/2020
286,Myddleton Lane,Slow increasing,-18.97033595,0.437226084,40,10/1/1983,10/1/2022
287,Forstal Farm,No trend,0.172043011,0.127611883,2,10/1/1991,10/1/1992
288,Gallows Hall,No trend,-1.833333333,0.243153086,30,10/1/1994,10/1/2023
289,Coleshill,Slow increasing,-3.076923077,0.003079159,33,10/1/1991,10/1/2023
290,Bishop Middleham,Sudden upward change,-12.7171441,0.907765848,6,10/1/1975,10/1/1980
292,Wangford,Slow decreasing,3.738839286,0.371335663,8,10/1/2000,10/1/2007
293,Upwaltham,Slow increasing,-5.977414021,0.108549904,33,10/1/1991,10/1/2023
294,North Leigh,Slow increasing,-3.319741533,0.070139844,42,10/1/1982,10/1/2023
295,Kingston Hill Barn,No trend,0.37917905,0.014698516,1,10/1/1997,10/1/1997
296,Brettenham Heath,Slow decreasing,7.859507885,0.350719405,3,10/1/2002,10/1/2004
297,Sleaford 1,No trend,1,0.043802738,35,10/1/1989,10/1/2023
298,Abbots Clough,Slow increasing,-15.5625,0.901239812,18,10/1/1992,10/1/2009
299,Melbourne House,No trend,-0.851449275,0.371384626,10,10/1/1992,10/1/2001
300,Plex,Sudden downward change,2.14681384,0.947550165,4,10/1/1997,10/1/2000
301,Perrywood,Slow decreasing,7.476190476,0.183129417,19,10/1/2000,10/1/2018
302,Ladies Mile,No trend,-1.347593583,0.281282986,2,10/1/2022,10/1/2023
303,Summergate Lane,No trend,-0.472400817,0.331223254,8,10/1/1999,10/1/2006
304,Weeting Hall,Slow decreasing,4.141414141,0.463424899,20,10/1/2000,10/1/2019
306,Elsham,Slow increasing,-2.099080087,0.27469164,40,10/1/1984,10/1/2023
309,Weir Farm,No trend,-0.977419772,0.221409148,28,10/1/1993,10/1/2020
310,Little Wytherford,No trend,-0.206349206,0.3283889,2,10/1/2018,10/1/2019
311,Hazelwood Cottage,No trend,0.517857143,0.026378269,46,10/1/1977,10/1/2022
312,Wilsford 2,No trend,-0.234027778,0.004898597,40,10/1/1984,10/1/2023
313,Wribbenhall,No trend,1.730444117,0.147017571,24,10/1/1989,10/1/2012
314,Chilton Candover,Slow increasing,-2.337145969,0.126944922,50,10/1/1972,10/1/2021
315,Ringmer Gote Farm House,No trend,-0.051864802,0.024102164,51,10/1/1973,10/1/2023
316,Buxton Heath,No trend,1.058627451,0.168860806,14,10/1/2008,10/1/2021
317,North Pickenham Road,No trend,-0.16,0.060355567,29,10/1/1995,10/1/2023
318,Great Shefford,No trend,0.019535789,0.044687588,10,10/1/2011,10/1/2020
320,Little Ensdon,No trend,1.882352941,0.138751233,35,10/1/1988,10/1/2022
321,Limpenhoe,No trend,-1.178412328,0.874224327,5,10/1/1997,10/1/2001
322,Rocky Lane,Slow increasing,-6.027472527,0.677606184,17,10/1/1991,10/1/2007
323,Corby Hill,No trend,-1.451190476,0.315357594,15,10/1/1999,10/1/2013
324,Fox Farm,No trend,1.510606061,0.075490111,16,10/1/2001,10/1/2016
325,Potters Fen,No trend,0.033333333,0.151406481,12,10/1/2011,10/1/2022
326,Ferrers Wheelbarrow Town,Slow increasing,-7.01309852,0.053739416,11,10/1/2011,10/1/2021
328,Rooks Farm,No trend,0.23241342,0.208722656,11,10/1/1974,10/1/1984
329,Scripton Bridge,Sudden upward change,-31.3259175,0.975614926,8,10/1/1995,10/1/2002
330,Pinnegar Bottom,Slow increasing,-4.654932079,0.14977518,57,10/1/1961,10/1/2017
331,Bigmoor,Slow increasing,-3.997474747,0.887016229,31,10/1/1948,10/1/1978
332,Biddestone 3,Slow decreasing,7.922130395,0.300116963,2,10/1/2012,10/1/2013
333,Biddestone 2,Slow increasing,-5.509259259,0.100082735,19,10/1/2005,10/1/2023
334,Frilsham,No trend,0.331678998,0.056242512,5,10/1/2019,10/1/2023
335,Charleston Bottom,No trend,-0.039381659,0.073364805,51,10/1/1971,10/1/2021
336,Elveden Gap,Slow decreasing,4.590277778,0.181999741,8,10/1/2001,10/1/2008
337,Summerleaze,No trend,0.364243869,0.059350028,2,10/1/2006,10/1/2007
338,Lowes Plantation,No trend,-0.130952381,0.659373149,1,10/1/1996,10/1/1996
339,Terrys Lodge Farm,No trend,-1.001158725,0.520912651,51,10/1/1971,10/1/2021
340,South Cockerington,No trend,-0.015151515,0.140635691,3,10/1/1994,10/1/1996
341,Hensall,No trend,-0.22018252,0.456366104,4,10/1/1987,10/1/1990
342,Perry Farm,Slow decreasing,2.311770627,0.321805239,26,10/1/1993,10/1/2018
343,Bradley Wood,No trend,-0.385876527,0.005585472,28,10/1/1996,10/1/2023
344,Flint Farm,No trend,0.597222222,0.239361578,2,10/1/2002,10/1/2003
346,East Curthwaite,No trend,1.427831785,0.266073556,47,10/1/1976,10/1/2022
347,Old Station Mendlesham,No trend,1.323232323,0.644940306,15,10/1/2005,10/1/2019
348,Alvescot Field Farm,No trend,0.547779849,0.003577858,28,10/1/1982,10/1/2009
349,Barlby Sandstone,Sudden upward change,-10.71799769,0.872561207,14,10/1/1998,10/1/2011
350,Widemarsh Common,No trend,-1.721623705,0.436958963,28,10/1/1975,10/1/2002
351,High Fallowfield,Slow increasing,-9.243774174,0.294804821,27,10/1/1997,10/1/2023
352,Nor Hill,No trend,-0.043597742,0.00573983,24,10/1/1981,10/1/2004
353,Ripple Nurseries,No trend,0.712121212,0.39352363,10,10/1/1969,10/1/1978
354,Lowfield,Sudden upward change,-6.255555556,0.939530897,4,10/1/1975,10/1/1978
355,Brimpsfield,No trend,0.608585859,0.356892238,2,10/1/2020,10/1/2021
356,Havenhills,Slow decreasing,2.08937212,0.455992503,5,10/1/1987,10/1/1991
357,Bishops Sutton,No trend,-0.805698556,0.115280196,33,10/1/1991,10/1/2023
